letter,font,min_x,min_y,max_x,max_y
B,AlBayan,460,455,548,599
B,AlNile,460,438,548,582
B,AlTarikh,460,411,548,555
B,AmericanTypewriter,434,456,559,591
B,AndaleMono,460,453,545,590
B,Apple-Chancery,439,476,565,613
B,AppleBraille,456,427,545,578
B,AppleColorEmoji,456,448,545,599
B,AppleGothic,445,433,555,589
B,AppleMyungjo,434,442,563,586
B,AppleSDGothicNeo-Regular,458,447,548,581
B,AppleSymbols,465,459,537,566
B,Arial-Black,436,467,569,610
B,ArialHebrew,460,428,548,572
B,ArialHebrewScholar,460,428,548,572
B,ArialMT,447,447,555,590
B,ArialNarrow,457,450,545,593
B,ArialRoundedMTBold,443,451,562,594
B,ArialUnicodeMS,447,463,555,606
B,Athelas-Regular,449,457,552,588
B,Avenir-Black,449,458,560,599
B,AvenirNext-Regular,454,458,549,599
B,AvenirNextCondensed-Regular,467,458,540,599
B,Ayuthaya,456,455,545,606
B,Baghdad,460,447,548,591
B,BanglaMN,445,458,565,605
B,BanglaSangamMN,454,445,552,581
B,Baskerville,443,456,553,589
B,Beirut,455,432,554,576
B,BigCaslon-Medium,433,450,562,593
B,BirchStd,469,425,527,574
B,BlackoakStd,320,425,675,574
B,BodoniOrnamentsITCTT,464,430,534,603
B,BodoniSvtyTwoITCTT-Book,448,455,547,593
B,BodoniSvtyTwoOSITCTT-Book,448,455,547,593
B,BodoniSvtyTwoSCITCTT-Book,448,455,547,593
B,BradleyHandITCTT-Bold,425,476,565,591
B,BrushScriptMT,449,458,574,592
B,BrushScriptStd,439,430,585,571
B,Chalkboard,450,460,546,599
B,ChalkboardSE-Regular,449,476,547,615
B,Chalkduster,437,458,558,612
B,Champagne&Limousines,461,445,545,583
B,ChaparralPro-Regular,452,443,549,574
B,CharlemagneStd-Bold,441,429,553,572
B,Charter-Black,436,463,560,597
B,Cochin,439,458,559,591
B,ComicSansMS,455,457,554,615
B,CooperBlackStd,427,429,572,571
B,Copperplate,444,471,557,576
B,CorsivaHebrew,460,418,548,562
B,Courier,448,460,551,575
B,CourierNewPS-BoldMT,442,465,554,583
B,CourierNewPSMT,448,469,548,583
B,DINAlternate-Bold,454,451,553,593
B,DINCondensed-Bold,466,429,532,571
B,Damascus,460,413,548,557
B,DamascusBold,455,413,554,557
B,DamascusLight,460,413,548,557
B,DamascusMedium,455,413,554,557
B,DamascusSemiBold,455,413,554,557
B,DecoTypeNaskh,460,473,548,617
B,DevanagariMT,436,460,551,592
B,DevanagariSangamMN,454,456,552,592
B,Didot,439,452,553,595
B,DiwanKufi,460,495,548,639
B,DiwanMishafi,460,434,548,578
B,DiwanMishafiGold,460,434,548,578
B,DiwanThuluth,460,457,548,601
B,EuphemiaUCAS,453,457,549,609
B,Farah,460,431,548,575
B,Farisi,460,466,548,610
B,Futura-Medium,459,453,548,603
B,GB18030Bitmap,456,461,545,612
B,GeezaPro,460,445,548,589
B,Geneva,450,448,552,599
B,Georgia,444,453,556,591
B,GiddyupStd,452,420,550,571
B,GillSans,459,455,552,591
B,GujaratiMT,436,458,551,590
B,GujaratiSangamMN,444,437,564,604
B,GurmukhiMN,451,465,557,594
B,GurmukhiSangamMN,454,463,552,599
B,Helvetica,447,433,558,576
B,HelveticaNeue,447,453,559,595
B,Herculanum,464,459,535,579
B,HiraKakuPro-W3,444,434,559,587
B,HiraKakuProN-W3,444,434,559,587
B,HiraKakuStd-W8,432,427,571,594
B,HiraKakuStdN-W8,432,427,571,594
