letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x
B,BigCaslon-Medium,1.398601399,1.375987339,-28,3
B,BirchStd,1.342281879,1.342281879,0,2
B,BlackoakStd,1.342281879,1.33292108,0,3.5
B,BodoniOrnamentsITCTT,1.156069364,1.079973518,-12,1
B,BodoniSvtyTwoITCTT-Book,1.449275362,1.402761642,-31,3
B,BodoniSvtyTwoOSITCTT-Book,1.449275362,1.402761642,-31,3
B,BodoniSvtyTwoSCITCTT-Book,1.449275362,1.402761642,-31,3
B,BradleyHandITCTT-Bold,1.739130435,1.743291476,-60,10.5
B,BrushScriptMT,1.492537313,1.403977306,-29,-15.5
B,BrushScriptStd,1.418439716,1.317108169,8,-17
B,Chalkboard,1.438848921,1.444606263,-43,2
B,ChalkboardSE-Regular,1.438848921,1.445019118,-65,3
B,Chalkduster,1.298701299,1.243826212,-39,2.5
B,Champagne&Limousines,1.449275362,1.426650747,-18,-3.5
B,ChaparralPro-Regular,1.526717557,1.51260868,-13,-1
B,CharlemagneStd-Bold,1.398601399,1.305029995,6,3.5
B,Charter-Black,1.492537313,1.467157678,-43,3
B,Cochin,1.503759398,1.493294713,-37,1.5
B,ComicSansMS,1.265822785,1.274499992,-46,-6.5
B,CooperBlackStd,1.408450704,1.370519828,2,0.5
B,Copperplate,1.904761905,1.866773092,-42,-1
B,CorsivaHebrew,1.388888889,1.357285039,16,-6.5
B,Courier,1.739130435,1.704041755,-28,0.5
B,CourierNewPS-BoldMT,1.694915254,1.664818891,-38,3
B,CourierNewPSMT,1.754385965,1.72378469,-43,3.5
B,DINAlternate-Bold,1.408450704,1.40062026,-31,-5.5
B,DINCondensed-Bold,1.408450704,1.40062026,1,1
B,Damascus,1.388888889,1.357285039,22,-6.5
B,DamascusBold,1.388888889,1.357285039,22,-6.5
B,DamascusLight,1.388888889,1.357285039,22,-6.5
B,DamascusMedium,1.388888889,1.357285039,22,-6.5
B,DamascusSemiBold,1.388888889,1.357285039,22,-6.5
B,DecoTypeNaskh,1.388888889,1.357285039,-59,-6.5
B,DevanagariMT,1.515151515,1.484788007,-37,9
B,DevanagariSangamMN,1.470588235,1.450327477,-34,-5
B,Didot,1.398601399,1.378915942,-31,5.5
B,DiwanKufi,1.388888889,1.357285039,-88,-6.5
B,DiwanMishafi,1.388888889,1.357285039,-6,-6.5
B,DiwanMishafiGold,1.388888889,1.357285039,-6,-6.5
B,DiwanThuluth,1.388888889,1.357285039,-36,-6.5
B,EuphemiaUCAS,1.315789474,1.292772758,-41,-2
B,Farah,1.388888889,1.357285039,-2,-6.5
B,Farisi,1.388888889,1.357285039,-49,-6.5
B,Futura-Medium,1.333333333,1.29743116,-34,-4
B,GB18030Bitmap,1.324503311,1.297086098,-45,-0.5
B,GeezaPro,1.388888889,1.357285039,-21,-6.5
B,Geneva,1.324503311,1.298598776,-29,-1.5
B,Georgia,1.449275362,1.419786766,-30,0
B,GiddyupStd,1.324503311,1.357023159,5,-1
B,GillSans,1.470588235,1.437548279,-32,-7.5
B,GujaratiMT,1.515151515,1.484788007,-34,9
B,GujaratiSangamMN,1.19760479,1.180331752,-23,-5.5
B,GurmukhiMN,1.550387597,1.517378862,-43,-6
B,GurmukhiSangamMN,1.470588235,1.450327477,-44,-5
B,Helvetica,1.398601399,1.378190854,-6,-4
B,HelveticaNeue,1.408450704,1.388134014,-32,-4
B,Herculanum,1.666666667,1.610751794,-27,-1
B,HiraKakuPro-W3,1.307189542,1.298314558,-14,-1.5
B,HiraKakuProN-W3,1.307189542,1.298314558,-14,-1.5
B,HiraKakuStd-W8,1.19760479,1.182450884,-11,-2
B,HiraKakuStdN-W8,1.19760479,1.182450884,-11,-2
B,HiraMaruPro-W4,1.282051282,1.260407766,-12,-4.5
B,HiraMaruProN-W4,1.282051282,1.260407766,-12,-4.5
B,HiraMinPro-W3,1.379310345,1.363849566,-11,3
B,HiraMinProN-W3,1.379310345,1.363849566,-11,3
B,HiraginoSans-W3,1.307189542,1.298314558,-14,-1.5
B,HiraginoSansGB-W3,1.307189542,1.298314558,-14,-1.5
B,HoboStd,1.204819277,1.186206022,-1,-2
B,HoeflerText-Regular,1.438848921,1.394658692,-2,2
B,ITFDevanagari-Book,1.515151515,1.484788007,-55,9
B,ITFDevanagariMarathi-Book,1.515151515,1.484788007,-55,9
B,Impact,1.265822785,1.250172339,-26,-0.5
B,InaiMathi,1.515151515,1.495677989,-27,-2.5
B,IowanOldStyle-Black,1.428571429,1.389171953,-44,1.5
B,Kailasa,1.388888889,1.357285039,-14,-6.5
B,KannadaMN,1.550387597,1.5168707,-34,-6
B,KannadaSangamMN,1.470588235,1.450327477,-41,-5
B,Kefa-Regular,1.492537313,1.46354013,-37,0
B,KhmerMN,1.739130435,1.700078846,-67,-8.5
B,KhmerSangamMN,1.449275362,1.428489768,-60,-1.5
B,KohinoorBangla-Regular,1.428571429,1.410059006,-48,-4
B,KohinoorDevanagari-Regular,1.428571429,1.410059006,-48,-4
B,KohinoorTelugu-Regular,1.428571429,1.410059006,-48,-4
B,Kokonor,1.459854015,1.370502132,-44,-2.5
B,KozGoPr6N-Regular,1.290322581,1.298494376,-16,-5.5
B,KozGoPro-Regular,1.290322581,1.298494376,-16,-5.5
B,KozMinPr6N-Regular,1.360544218,1.328869443,-17,1
B,KozMinPro-Regular,1.360544218,1.328869443,-17,1
B,Krungthep,1.342281879,1.336994856,-34,0.5
B,KufiStandardGK,1.388888889,1.357285039,-27,-6.5
B,LaoMN,1.550387597,1.517378862,-34,-6
B,LaoSangamMN,1.470588235,1.450327477,-45,-5
B,LetterGothicStd,1.398601399,1.37754756,-2,-2.5
B,LithosPro-Regular,1.418439716,1.37731798,-1,-6
B,Lucida Bright Demibold,1.388888889,1.353740375,-28,3.5
B,Lucida Bright Demibold Italic,1.388888889,1.351518297,-28,17
B,Lucida Bright Italic,1.388888889,1.351297139,-28,18
B,Lucida Bright Regular,1.388888889,1.353377016,-28,6
B,Lucida Sans Demibold,1.388888889,1.357285039,-29,-6.5
B,Lucida Sans Regular,1.388888889,1.357285039,-28,-6.5
B,Lucida Sans Typewriter Bold,1.388888889,1.364795884,-29,-4.5
B,Lucida Sans Typewriter Regular,1.388888889,1.364071561,-29,-4
B,LucidaBright,1.388888889,1.353377016,-28,6
B,LucidaGrande,1.388888889,1.357285039,-30,-6.5
B,LucidaSans,1.388888889,1.357285039,-28,-6.5
B,Luminari-Regular,1.290322581,1.218172745,-25,3.5
B,MalayalamMN,1.550387597,1.517378862,-52,-6
B,MalayalamSangamMN,1.470588235,1.450327477,-17,-5
B,Marion-Regular,1.503759398,1.481397248,-5,0.5
B,MarkerFelt-Thin,1.19047619,1.175298302,-12,0.5
B,Menlo-Regular,1.379310345,1.359633448,-26,-4
B,MesquiteStd,1.307189542,1.303533068,-1,2
B,MicrosoftSansSerif,1.398601399,1.384324744,-27,-4
B,MinionPro-Regular,1.550387597,1.504111734,-9,0.5
B,Monaco,1.324503311,1.297086098,-29,-0.5
B,MonotypeGurmukhi,1.388888889,1.357285039,-17,-6.5
B,Montserrat-Regular,1.438848921,1.421263326,-37,-8
B,Mshtakan,1.515151515,1.484788007,-32,9
B,MshtakanBold,1.481481481,1.443884217,-28,5
B,MshtakanBoldOblique,1.503759398,1.460703649,-30,10
B,MshtakanOblique,1.538461538,1.503372519,-34,5
B,Muna,1.388888889,1.357285039,1,-6.5
B,MunaBlack,1.388888889,1.357285039,1,-6.5
B,MunaBold,1.388888889,1.357285039,1,-6.5
B,MyanmarMN,1.550387597,1.517378862,-47,-6
B,MyanmarSangamMN,1.470588235,1.450327477,-33,-5
B,MyriadArabic-Regular,2.06185567,2.058044128,-41,-4.5
B,MyriadHebrew-Regular,1.459854015,1.470704313,-12,-4.5
B,MyriadPro-Regular,1.459854015,1.471506347,-12,-4.5
B,Nadeem,1.388888889,1.357285039,-24,-6.5
B,NewPeninimMT,1.388888889,1.357285039,2,-6.5
B,Noteworthy-Light,1.142857143,1.125474972,-48,2
B,NotoNastaliqUrdu,1.388888889,1.357285039,-158,-6.5
B,NuevaStd-Cond,1.612903226,1.599716912,-9,2
B,OCRAStd,1.290322581,1.290004454,0,0.5
B,Optima-Regular,1.459854015,1.423112574,-31,-1.5
B,OratorStd,1.503759398,1.481003851,2,-3.5
B,OriyaMN,1.550387597,1.517378862,-34,-6
B,OriyaSangamMN,1.257861635,1.24021996,-30,-5.5
B,PTMono-Regular,1.398601399,1.412577162,-28,-5.5
B,PTSans-Regular,1.398601399,1.40528931,-29,-3.5
B,PTSerif-Regular,1.398601399,1.395899657,-43,4
B,Palatino-Roman,1.449275362,1.408397709,-15,5.5
B,Papyrus,1.438848921,1.474158176,-46,-0.5
B,Phosphate-Inline,1.503759398,1.487611505,-40,-3
B,PingFangHK-Regular,1.408450704,1.391330364,-47,-4
B,PingFangSC-Regular,1.408450704,1.391330364,-47,-4
B,PingFangTC-Regular,1.408450704,1.391330364,-47,-4
