letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x,score
A,Beirut,1.388888889,1.357285039,-3,0.5,89
A,DamascusBold,1.388888889,1.357285039,22,0.5,89
A,DamascusMedium,1.388888889,1.357285039,22,0.5,89
A,DamascusSemiBold,1.388888889,1.357285039,22,0.5,89
A,Lucida Sans Demibold,1.388888889,1.357285039,-29,0.5,89
A,Montserrat-Regular,1.438848921,1.421263326,-37,1,89
A,MunaBlack,1.388888889,1.357285039,1,0.5,89
A,MunaBold,1.388888889,1.357285039,1,0.5,89
A,Lucida Sans Typewriter Bold,1.388888889,1.364795884,-29,0.5,90
A,TektonPro-Bold,1.503759398,1.50678574,-4,3,90
A,AppleBraille,1.324503311,1.297086098,-1,0.5,91
A,AppleColorEmoji,1.324503311,1.297086098,-29,0.5,91
A,Ayuthaya,1.324503311,1.296293642,-38,0.5,91
A,GB18030Bitmap,1.324503311,1.297086098,-45,0.5,91
A,Monaco,1.324503311,1.297086098,-29,0.5,91
A,Noteworthy-Light,1.129943503,1.125474972,-53,0,91
A,OratorStd,1.470588235,1.481003851,-2,1,91
A,AvenirNextCondensed-Regular,1.418439716,1.404325479,-40,0,92
A,BodoniSvtyTwoITCTT-Book,1.408450704,1.402761642,-32,-2,92
A,BodoniSvtyTwoOSITCTT-Book,1.408450704,1.402761642,-32,-2,92
A,BodoniSvtyTwoSCITCTT-Book,1.408450704,1.402761642,-32,-2,92
A,AdobeGothicStd-Bold,1.307189542,1.289151574,-13,2,93
A,NuevaStd-Cond,1.612903226,1.599716912,-9,2,93
A,TimesNewRomanPS-BoldMT,1.481481481,1.482880242,-32,0.5,93
A,MshtakanBold,1.459854015,1.443884217,-28,1,94
A,RaananaBold,1.459854015,1.443884217,-3,1,94
A,TrebuchetMS,1.388888889,1.375560028,-29,0.5,94
A,AmericanTypewriter,1.481481481,1.449054543,-33,0.5,95
A,Skia-Regular,1.481481481,1.501613838,-20,-0.5,96
A,ArialRoundedMTBold,1.351351351,1.359660112,-32,1,97
A,Superclarendon-Regular,1.351351351,1.330767393,-30,1,97
A,ComicSansMS,1.360544218,1.274499992,-44,1,99
A,Courier,1.739130435,1.704041755,-28,-0.5,103
A,Luminari-Regular,1.324503311,1.218172745,-23,4,104
A,OCRAStd,1.290322581,1.290004454,0,1,104
A,Charter-Black,1.481481481,1.467157678,-43,1,105
A,Avenir-Black,1.418439716,1.402208199,-39,1,106
A,Chalkboard,1.418439716,1.444606263,-46,-2,106
A,Rockwell-Regular,1.360544218,1.328011744,10,0,106
A,LithosPro-Regular,1.333333333,1.37731798,-5,0.5,107
A,MshtakanOblique,1.503759398,1.503372519,-34,8,107
A,ChalkboardSE-Regular,1.418439716,1.445019118,-68,-0.5,108
A,MarkerFelt-Thin,1.19047619,1.175298302,-7,0,108
A,MshtakanBoldOblique,1.470588235,1.460703649,-30,16.5,108
A,Copperplate,1.904761905,1.866773092,-42,1.5,110
A,Trattatello,1.666666667,1.615598282,-89,-4,111
A,HiraKakuStd-W8,1.19760479,1.182450884,-11,1,113
A,HiraKakuStdN-W8,1.19760479,1.182450884,-11,1,113
A,StencilStd,1.342281879,1.327682022,1,2.5,113
A,Lucida Bright Italic,1.369863014,1.351297139,-28,26.5,116
A,CourierNewPS-BoldMT,1.694915254,1.664818891,-38,0.5,117
A,IowanOldStyle-Black,1.428571429,1.389171953,-43,0,118
A,Lucida Bright Demibold Italic,1.369863014,1.351518297,-28,25,118
A,Papyrus,1.418439716,1.474158176,-46,1,120
A,DINCondensed-Bold,1.408450704,1.40062026,1,0.5,121
A,RosewoodStd-Regular,1.333333333,1.328300786,-14,-8,122
A,GiddyupStd,1.526717557,1.357023159,6,2,123
A,PoplarStd,1.342281879,1.335955608,-2,1,123
A,HoboStd,1.176470588,1.186206022,-2,1,126
A,Impact,1.265822785,1.250172339,-26,0,127
A,Trebuchet-BoldItalic,1.388888889,1.37166371,-28,11,128
